Date,Open,High,Low,Close,Adj Close,Volume
2020-08-25,3335.010010,3373.469971,3329.709961,3329.709961,3329.709961,33085400
2020-08-26,3328.419922,3357.879883,3315.399902,3356.760010,3356.760010,22971400
2020-08-27,3357.020020,3359.139893,3326.649902,3331.040039,3331.040039,34252000
2020-08-28,3333.189941,3339.739990,3296.260010,3315.540039,3315.540039,34916100
2020-08-31,3320.679932,3346.110107,3266.550049,3272.510010,3272.510010,38082400
2020-09-01,3279.110107,3311.399902,3245.030029,3277.580078,3277.580078,39439400
2020-09-02,3284.300049,3358.110107,3284.300049,3337.770020,3337.770020,39209800
2020-09-03,3344.209961,3396.020020,3285.550049,3304.219971,3304.219971,41864100
2020-09-04,3294.929932,3328.760010,3234.810059,3260.590088,3260.590088,52021800
2020-09-07,3264.429932,3320.550049,3264.429932,3314.070068,3314.070068,30641700
2020-09-08,3314.850098,3320.379883,3241.610107,3267.370117,3267.370117,40316200
2020-09-09,3266.870117,3332.989990,3266.870117,3324.830078,3324.830078,38254800
2020-09-10,3326.280029,3337.719971,3300.080078,3312.770020,3312.770020,37190800
2020-09-11,3312.780029,3329.090088,3292.419922,3315.810059,3315.810059,36522100
2020-09-14,3319.939941,3346.399902,3309.060059,3316.790039,3316.790039,26472800
2020-09-15,3318.399902,3344.510010,3307.360107,3332.260010,3332.260010,31133000
2020-09-16,3332.120117,3348.770020,3312.189941,3338.840088,3338.840088,39884600
2020-09-17,3332.860107,3332.860107,3285.270020,3316.570068,3316.570068,38205500
2020-09-18,3315.300049,3326.790039,3283.689941,3283.689941,3283.689941,137350900
2020-09-21,3277.419922,3277.419922,3150.610107,3160.949951,3160.949951,67334300
2020-09-22,3165.719971,3195.179932,3164.129883,3164.129883,3164.129883,42736000
2020-09-23,3170.550049,3223.719971,3170.550049,3180.110107,3180.110107,40764500
2020-09-24,3166.020020,3181.129883,3143.610107,3159.639893,3159.639893,36726900
2020-09-25,3159.280029,3160.560059,3097.669922,3137.060059,3137.060059,34434700
2020-09-28,3144.520020,3227.429932,3144.520020,3223.189941,3223.189941,33765100
2020-09-29,3222.320068,3224.830078,3197.100098,3214.300049,3214.300049,26378700
2020-09-30,3208.909912,3225.939941,3181.030029,3193.610107,3193.610107,31421800
2020-10-01,3207.169922,3224.399902,3178.110107,3194.090088,3194.090088,31975300
2020-10-02,3180.830078,3190.929932,3147.280029,3190.929932,3190.929932,29224800
2020-10-05,3200.489990,3224.350098,3199.629883,3220.219971,3220.219971,27974800
2020-10-06,3223.639893,3251.110107,3201.979980,3233.300049,3233.300049,34419500
2020-10-07,3229.929932,3245.620117,3219.330078,3233.429932,3233.429932,30795800
2020-10-08,3239.949951,3270.270020,3234.479980,3255.760010,3255.760010,31560600
2020-10-09,3256.860107,3276.360107,3254.129883,3273.120117,3273.120117,28062700
2020-10-12,3276.500000,3305.770020,3272.500000,3298.120117,3298.120117,24552700
2020-10-13,3298.629883,3298.629883,3264.739990,3279.189941,3279.189941,27899000
2020-10-14,3279.199951,3287.840088,3264.610107,3273.280029,3273.280029,24136500
2020-10-15,3269.870117,3269.870117,3174.639893,3192.689941,3192.689941,40918700
2020-10-16,3197.290039,3258.929932,3197.290039,3245.469971,3245.469971,38098800
2020-10-19,3250.129883,3282.550049,3226.439941,3242.510010,3242.510010,21113800
2020-10-20,3239.750000,3250.969971,3223.790039,3227.870117,3227.870117,30353500
2020-10-21,3232.629883,3238.070068,3176.949951,3180.699951,3180.699951,30459900
2020-10-22,3180.959961,3185.030029,3135.479980,3171.409912,3171.409912,28351500
2020-10-23,3167.959961,3217.959961,3162.370117,3198.860107,3198.860107,28506900
2020-10-26,3181.949951,3181.949951,3103.790039,3105.250000,3105.250000,30262900
2020-10-27,3109.080078,3112.320068,3065.649902,3070.600098,3070.600098,40133600
2020-10-28,3058.860107,3058.860107,2932.949951,2963.540039,2963.540039,59924100
2020-10-29,2961.489990,2985.500000,2920.870117,2960.030029,2960.030029,55410200
2020-10-30,2950.280029,2972.449951,2928.560059,2958.209961,2958.209961,45697100
2020-11-02,2969.370117,3029.850098,2953.919922,3019.540039,3019.540039,38685900
2020-11-03,3030.889893,3101.040039,3030.889893,3098.719971,3098.719971,45463700
2020-11-04,3083.790039,3164.560059,3043.189941,3161.070068,3161.070068,52144900
2020-11-05,3167.780029,3222.510010,3167.780029,3215.560059,3215.560059,46046100
2020-11-06,3210.370117,3224.489990,3168.969971,3204.050049,3204.050049,38532500
2020-11-09,3217.399902,3442.120117,3217.399902,3407.909912,3407.909912,106006300
2020-11-10,3405.489990,3460.080078,3396.399902,3442.620117,3442.620117,98233400
2020-11-11,3444.570068,3473.820068,3433.260010,3467.300049,3467.300049,51670000
2020-11-12,3453.360107,3457.709961,3421.959961,3428.199951,3428.199951,45823200
2020-11-13,3423.629883,3457.590088,3416.179932,3432.070068,3432.070068,41525000
2020-11-16,3447.860107,3497.100098,3440.050049,3466.209961,3466.209961,55798900
2020-11-17,3461.540039,3471.899902,3442.699951,3468.479980,3468.479980,40480000
2020-11-18,3463.969971,3489.310059,3451.889893,3482.169922,3482.169922,41195400
2020-11-19,3466.669922,3466.669922,3440.219971,3451.969971,3451.969971,38187600
2020-11-20,3447.959961,3484.290039,3442.810059,3467.600098,3467.600098,37867200
2020-11-23,3480.590088,3506.239990,3463.040039,3463.040039,3463.040039,36743100
2020-11-24,3476.610107,3510.620117,3476.610107,3507.979980,3507.979980,52932600
2020-11-25,3513.770020,3520.739990,3494.070068,3511.899902,3511.899902,48980900
2020-11-26,3518.669922,3524.080078,3508.699951,3510.939941,3510.939941,27287600
2020-11-27,3509.790039,3536.459961,3507.969971,3527.790039,3527.790039,44686100
2020-11-30,3518.909912,3538.520020,3492.540039,3492.540039,3492.540039,53483100
2020-12-01,3499.280029,3532.909912,3499.280029,3525.239990,3525.239990,41995600
2020-12-02,3515.639893,3523.300049,3502.100098,3521.320068,3521.320068,41426400
